"field";"search";"replaceBy";"restrict";"fieldRestrict";"strictly";"multiple";"comment"
"COMMUNE";"ESCAUPONT";"ESCAUTPONT";"";"";TRUE;FALSE;""
"COMMUNE";"SAINT-DIE";"SAINT-DIE-DES-VOSGES";"";"";TRUE;FALSE;""
"COMMUNE";"SANT-ANDREA-D'ORCINO";"SANT'ANDREA-D'ORCINO";"";"";TRUE;FALSE;""
"COMMUNE";"PRUNELLI-DI-CASACONE";"PRUNELLI-DI-CASACCONI";"";"";TRUE;FALSE;""
"COMMUNE";"PRUNELLI-DI-FIUMORBU";"PRUNELLI-DI-FIUMORBO";"";"";TRUE;FALSE;""
"COMMUNE";"OLMI-CAPELLA";"OLMI-CAPPELLA";"";"";TRUE;FALSE;""
"COMMUNE";"SAINT-LOUP-SUR-THOUET";"SAINT-LOUP-LAMAIRE";"";"";TRUE;FALSE;""
"COMMUNE";"FAYE-L'ABESSE";"FAYE-L'ABBESSE";"";"";TRUE;FALSE;""
"COMMUNE";"SAINT-GEORGE-DE-NOISNE";"SAINT-GEORGES-DE-NOISNE";"";"";TRUE;FALSE;""
"COMMUNE";"BONHOMME";"LE BONHOMME";"";"";TRUE;FALSE;""
"COMMUNE";"WINTZFELDEN";"SOULTZMATT";"";"";TRUE;FALSE;""
"COMMUNE";"SAINTE-MAIRIE-AUX-MINES";"SAINTE-MARIE-AUX-MINES";"";"";TRUE;FALSE;""
"COMMUNE";"BROQUE";"LA BROQUE";"";"";TRUE;FALSE;""
"COMMUNE";"BAZOUGES-SOUS-HEDE";"HEDE-BAZOUGES";"";"";TRUE;FALSE;""
"COMMUNE";"SAINT-GEORGE-D'AUNAY";"SAINT-GEORGES-D'AUNAY";"";"";TRUE;FALSE;""
"COMMUNE";"CORRENÇON-EN-VERCORS";"CORRENCON-EN-VERCORS";"";"";TRUE;FALSE;""
"COMMUNE";"SAINT-BONNET-DE-TRONCAIS";"SAINT-BONNET-TRONCAIS";"";"";TRUE;FALSE;""
"COMMUNE";"CHAMPS-SUR-TARENTAINE";"CHAMPS-SUR-TARENTAINE-MARCHAL";"";"";TRUE;FALSE;""
"COMMUNE";"LA BESSEYRE-SAINTE-MARY";"LA BESSEYRE-SAINT-MARY";"";"";TRUE;FALSE;""
"COMMUNE";"BOENAT";"LALIZOLLE";"";"";TRUE;FALSE;""
"COMMUNE";"FRIDEFOND";"FRIDEFONT";"";"";TRUE;FALSE;""
"COMMUNE";"CHAPELLE-AUX-CHASSES";"LA CHAPELLE-AUX-CHASSES";"";"";TRUE;FALSE;""
"COMMUNE";"LAVAULT-SAINT-ANNE";"LAVAULT-SAINTE-ANNE";"";"";TRUE;FALSE;""
"COMMUNE";"DENEUIL-LES-MINES";"DENEUILLE-LES-MINES";"";"";TRUE;FALSE;""
"COMMUNE";"CHASTREIX--SANCY";"CHASTREIX";"";"";TRUE;FALSE;""
"COMMUNE";"MARSEILLE";"MARSEILLE--4E--ARRONDISSEMENT";"ONFtot";"ORIGINE";TRUE;FALSE;""
"COMMUNE";"LYON";"LYON--2E--ARRONDISSEMENT";"LPO_RA";"ORIGINE";TRUE;FALSE;""
"COMMUNE";"SAINT-LAURENT";"SAINT-LAURENT-SUR-OUST";"GMB1";"ORIGINE";TRUE;FALSE;""
"COMMUNE";"PONT-DE-BUIS";"PONT-DE-BUIS-LES-QUIMERCH";"GMB1";"ORIGINE";TRUE;FALSE;""
"COMMUNE";"SAINT-GUELVEN";"SAINT-GELVEN";"";"";TRUE;FALSE;""
"COMMUNE";"SAINT-SERVAN";"SAINT-SERVANT";"";"";TRUE;FALSE;""
"COMMUNE";"CHATEAUTHEBAUD";"CHATEAU-THEBAUD";"";"";TRUE;FALSE;""
"COMMUNE";"PLEUCADEC";"PLEUCADEUC";"";"";TRUE;FALSE;""
"COMMUNE";"SAINT-ETIENNE-GUE-DE-L'ISLE";"SAINT-ETIENNE-DU-GUE-DE-L'ISLE";"";"";TRUE;FALSE;""
"COMMUNE";"PLOUHINEC)";"PLOUHINEC";"";"";TRUE;FALSE;""
"TAXON";"[\\.()',]";"PLOUHINEC";"";"";FALSE;FALSE;""
"SEXE";"([^A-Z]*F[^A-Z]*M[^A-Z]*)|([^A-Z]*M[^A-Z]*F[^A-Z]*)|([^A-Z]*FEMELLE[^A-Z]*M.LE[^A-Z]*)|([^A-Z]*M.LE[^A-Z]*FEMELLE[^A-Z]*)|([^A-Z]*FEM[^A-Z]*M.LE[^A-Z]*)|([^A-Z]*M.LE[^A-Z]*FEM[^A-Z]*)";"";"";"";FALSE;FALSE;"suppression des cas avec les deux sexes"
"SEXE";"[^A-Z]*(F|FEMELLE|FEM)[^A-Z]*";"FEMELLE";"";"";FALSE;FALSE;""
"SEXE";"[^A-Z]*((M.LE)|M)[^A-Z]*";"MALE";"";"";FALSE;FALSE;""
"SEXE";"([^A-Z]*F[^A-Z]*M[^A-Z]*)|([^A-Z]*M[^A-Z]*F[^A-Z]*)|([^A-Z]*FEMELLE[^A-Z]*M.LE[^A-Z]*)|([^A-Z]*M.LE[^A-Z]*FEMELLE[^A-Z]*)|([^A-Z]*FEM[^A-Z]*M.LE[^A-Z]*)|([^A-Z]*M.LE[^A-Z]*FEM[^A-Z]*)";"";"";"";FALSE;FALSE;"suppression des cas avec les deux sexes"
"AGE";" *";"";"";"";FALSE;FALSE;" suppression des espaces"
"AGE";".*(\\?|(NUL)|(IND)|(XX)|(VOL)).*";"";"";"";FALSE;FALSE;" les ages inderterminés"
"AGE";"M,-, F,F,47.5,ADULTE/JUVENILE,JUVENILE/ADULTE";"";"";"";FALSE;TRUE;" les cas particulier d'ages inderterminés"
"AGE";".*((IMM)|(SUB)|(SAD)|(IM)).";"IMMATURE";"";"";FALSE;FALSE;" regle generale pour les immatures"
"AGE";"I";"IMMATURE";"";"";FALSE;TRUE;" les cas particulier des immatures"
"AGE";".*((JEUNE)|(JUV)).";"JUVENILE";"";"";FALSE;FALSE;" regle generale pour les juvelines"
"AGE";"J,1A";"JUVENILE";"";"";FALSE;TRUE;" les cas particulier des juvelines"
"AGE";".*((AD)|(AF)|(POST)|(2)|(\\+)).*";"ADULTE";"";"";FALSE;FALSE;" regle generale pour les adultes"
"AGE";"A";"ADULTE";"";"";FALSE;TRUE;"les cas particulier des adultes"
"TAXON";"Vespertilionidae Gray 1821 Myotis Kaup 1829 Myotis emarginatus E Geoffroy 1806,?,Plecotus auritus Linnaeus 1758 Barbastella barbastellus Schreber 1774,Eptesicus serotinus Schreber 1774 Nyctalus leisleri Kuhl 1817,Chiroptera sp,Chauve-souris sp,CHIIND,Chiroptera,Nyctalus leisleri Kuhl 1817 Eptesicus serotinus Schreber 1774,\\?";"Chiroptera";"";"";FALSE;TRUE;""
